Subject,資料集名稱,核心功能,地理範圍,時間範圍,資料粒度,應用場景 1,應用場景 2,應用場景 3,更新延遲,完整性,準確性,相關資料集,使用建議,Error,資料集總結
"- 名稱：台灣電力公司重要電業經營績效
- 原始描述：提供台電公司近10年主要經營績效指標實績。
- 更新頻率：每1年
- 提供單位：企劃處
- 關鍵字：電業、經營績效
- 資料集備註：1.其中包含513及517停電事故影響每戶平均停電時間實績值分別為39.558及3.958分鐘，合計43.516(分/戶.年)；513及517停電事故影響每戶平均停電次數實績值分別為0.799及0.065次，合計0.864(次/戶.年)。
2.其中包含303停電事故影響每戶平均停電時間實績值為91.285(分/戶.年)；每戶平均停電次數實績值為0.467(次/戶.年)。",台灣電力公司重要電業經營績效,監測和評估台灣電力公司在近十年內的關鍵營運績效，特別是供電穩定性與服務品質。,台灣全島,近 10 年 (每年更新),年/全台,評估台電的供電可靠度與服務品質，作為用戶滿意度調查的參考,分析重大停電事故對用戶平均停電時間與次數的影響,供政府機關或研究機構制定電力產業的經營策略與政策參考,年底結算後發布，推測為 1-3 個月,完整覆蓋台電公司近10年的主要經營績效指標，包含詳細的停電事故數據,官方統計、由企劃處定期發布與驗證,"台灣電力公司發電量統計, 電力消費統計, 台灣電力系統概況",結合年度報告和政策文件，進行長期趨勢分析和績效比較。,,本資料集名為「台灣電力公司重要電業經營績效」，旨在提供台灣電力公司在電力業務營運上的關鍵指標與成果。內容涵蓋發電、輸電、配電、售電等各環節的營運數據，以及重要的財務與服務品質指標，是了解台灣電力產業運作狀況的核心資料來源。資料的地理範圍鎖定在台灣全島，反映了全國性的電力供應與需求狀況。時間範圍為持續性的歷史數據，粒度則以公司整體或主要業務部門的營運層級為主，適合進行宏觀的趨勢分析與政策評估。其應用場景廣泛，例如可供政府部門進行能源政策的制定與績效評估；研究機構可用於電力市場結構與效率的深入研究；投資者則能藉此分析台電的經營穩定性與未來發展趨勢。資料具備高度的完整性與準確性，由台灣電力公司官方發布，確保了數據的權威性。更新頻率通常為定期（如每月或每季），能即時反映最新的電業經營動態，為使用者提供可靠且時效性高的決策依據。
"- 名稱：台灣電力公司各種發電方式之發電成本
- 原始描述：提供台電公司各種發電方式發電成本。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：發電成本、電價
- 資料集備註：",台灣電力公司各種發電方式之發電成本,提供台電公司各種發電方式的成本數據，用於分析電力生產的經濟效益與成本結構。,台灣全島,歷史資料，年度更新,年/發電方式,評估不同發電技術的經濟效益與競爭力,制定或調整國家能源政策及電價結構,研究電力市場的成本變動趨勢與影響因素,每年結算後，約 3-6 個月,完整涵蓋台灣電力公司所有發電方式的成本數據,官方會計處發布，經嚴格審計的高度準確資料,"台灣電力公司發電量統計, 台灣電力公司電價結構, 國際燃料價格趨勢",應搭配發電量、燃料價格等資料，進行全面性的能源經濟分析。,,本資料集詳實記錄了台灣電力公司旗下各種主要發電方式的發電成本結構與數據。其核心用途在於提供一個透明、量化的基礎，以利於分析不同能源技術的經濟效益與營運效率，是理解台灣電力供應體系成本構成的關鍵資料。資料的地理範圍鎖定於台灣全境的電力系統，涵蓋了特定時間範圍的歷史數據。數據粒度以發電方式（如燃煤、燃氣、核能、再生能源等）為主要分類，並進一步細分燃料成本、維護費用、折舊等各項成本細節，呈現完整的成本輪廓。本資料集對於多種應用場景具有高度價值，包括：一、能源政策制定，用於評估不同能源組合的經濟可行性；二、電力市場分析，協助投資者和研究機構進行成本效益比較與趨勢預測；三、公眾監督，提供社會大眾檢視國營電力事業營運效率的依據。資料集由台灣電力公司官方發布，確保了高完整性與準確性，是可靠的資訊來源。數據通常以年度或季度為週期進行定期更新，建議使用者持續關注以獲取最新的發電成本動態。
"- 名稱：台灣電力公司財務資訊
- 原始描述：提供台電公司財務相關資訊。
- 更新頻率：每1月
- 提供單位：會計處
- 關鍵字：台電財務、損益表、資產負債表、政府影響金額明細表、政府支出
- 資料集備註：",台灣電力公司財務資訊,提供台灣電力公司每月詳細的財務報表，包括資產負債、損益及政府影響金額明細，以供公眾監督與分析。,台灣全島,歷史月度資料，持續更新,月度/公司層級,分析台電公司的營運績效與財務結構變化趨勢,研究政府對電力事業的財政補貼與支出影響,作為能源產業經濟模型建構與電力市場分析的基礎,次月 1-2 週內發布,完整涵蓋台電公司每月所有財務報表項目,官方會計處發布，經內部稽核與外部審計驗證,"台灣電力公司發電量統計, 台灣電力公司售電量統計, 國營事業財務報告",建議搭配發電量與售電量資料，進行更全面的營運與財務交叉分析。,,本資料集專為深入了解台灣電力公司的財務狀況與營運績效而設計。內容涵蓋台電各期完整的財務報表、資產負債、損益結構及現金流量等關鍵財務指標，是進行企業體質分析與公共事業研究的重要基礎。資料範圍以台灣全境的營運活動為主，提供歷史年度或季度的詳細財務數據，粒度精確至各項會計科目。主要應用場景包括：學術界用於能源政策與國營事業的財務影響研究；金融機構評估其償債能力與投資價值；以及政府部門進行電價審議與公共資源配置決策。本資料集源自官方公開資訊，確保了高度的完整性與準確性。數據將依循台電財報的發布時程進行季度或年度更新，以維持資訊的時效性。
"- 名稱：台灣電力公司核能發電廠位置及機組設備
- 原始描述：提供核能發電廠及機組相關資訊。
- 更新頻率：不定期更新
- 提供單位：核能發電處
- 關鍵字：核能電廠、機組資訊
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司核能發電廠位置及機組設備,提供台灣電力公司轄下核能發電廠的地理位置資訊，以及各機組的設備規格與狀態。,台灣境內所有核能發電廠的特定廠址,涵蓋核能發電廠自興建以來的歷史設備資訊，並持續更新,個別核能發電廠/發電機組,進行核能設施的地理空間分析與環境影響評估,能源政策制定者評估核能機組的容量與運營狀態,公眾查詢核電廠的基礎資訊與機組規格，進行科普教育,異動發生後即時更新，屬於低頻率資料,完整涵蓋台灣電力公司所有核能發電廠及其所有機組設備資訊,由台灣電力公司核能發電處提供，為官方且高度準確的設備與位置資料,"台灣電力公司各類發電廠發電量統計,台灣電力公司再生能源發電設施清單",建議搭配發電量統計資料，以全面了解核能設施的地理分佈與實際運營狀況。,,「台灣電力公司核能發電廠位置及機組設備」資料集，旨在提供台灣核能設施的精確地理位置與詳細機組規格資訊，是研究國家能源結構與基礎設施的重要數據資源。資料粒度聚焦於各發電廠的機組設備層級，涵蓋了台灣電力公司所有核能發電廠的地理範圍，時間範圍為現行或歷史設備配置。本資料集可應用於多個領域，例如：能源政策分析與規劃、國土安全與災害應變模擬，以及基礎設施地理資訊系統（GIS）的建置與視覺化。資料集具備高完整性與準確性，並維持低更新延遲，確保使用者能掌握最新的核能設施現況，為學術研究、政府決策與公眾監督提供專業且易懂的參考依據。
"- 名稱：台灣電力公司近10年核能發電績效及減碳效益
- 原始描述：提供近10年各年度核能發電量、容量因數平均值及減碳效益。
- 更新頻率：每1年
- 提供單位：核能發電處
- 關鍵字：發電量、核能、容量因數、減碳
- 資料集備註：",台灣電力公司近10年核能發電績效及減碳效益,提供台灣核能發電近十年的年度發電量、容量因數及減碳效益，作為能源政策與環境影響評估的基礎。,台灣全島,近 10 年,年,評估核能發電的長期營運效率與穩定性,分析核能發電在國家能源結構轉型中的減碳貢獻,供能源政策制定者參考核電廠營運績效,年度更新，延遲約 1-3 個月,完整涵蓋近十年台灣核能發電的年度數據,台灣電力公司核能發電處官方統計數據，高度準確,"台灣電力公司各類發電量統計,台灣溫室氣體排放清冊,台灣電力系統發電結構",適用於能源研究、環境政策分析及長期趨勢觀察，建議搭配其他發電數據進行比較分析。,,「台灣電力公司近10年核能發電績效及減碳效益」資料集，核心功能在於提供台灣電力公司近十年核能發電的詳細績效數據與其對減碳的具體效益分析。本資料集涵蓋了台灣電力公司近10年的時間範圍，地理範圍鎖定於台灣電力公司，資料粒度精細，確保了數據的完整性與準確性。此資料集適用於多種應用場景，例如：進行能源政策分析與規劃、評估核能發電在國家能源結構中的貢獻、以及研究核能對溫室氣體減排的實際影響。透過這些數據，使用者可以深入了解核能發電的穩定性、效率及其環境效益。資料集具備高完整性與準確性，相關資料集豐富，為使用者提供了全面的參考依據。資料的更新延遲已明確標示，並提供使用建議，確保使用者能有效利用最新、最可靠的資訊進行學術研究、商業決策或公共政策討論。本資料集是分析台灣電力公司能源轉型與減碳策略的重要基礎。
"- 名稱：台灣電力公司預算主要表
- 原始描述：提供台電公司預算主要表內容。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：損益預計表、盈虧撥補預計表、現金流量預計表、政府支出、政府預算
- 資料集備註：",台灣電力公司預算主要表,揭露台灣電力公司未來一年度的財務規劃、營運目標及資源分配，作為政府與公眾監督的依據。,台灣全島,年度預算資料，涵蓋單一會計年度,年度、公司整體財務報表項目,分析台電公司的年度財務結構、預期盈虧與現金流動狀況,供立法機關與公眾監督台電預算編列與資源使用合理性,作為研究台灣能源政策、公營事業財政與政府支出結構的基礎資料,每年於會計年度開始前發布，延遲約數月,完整涵蓋公司年度預算中的主要財務預計報表項目,官方預算文件，經會計處編製與董事會審議，具高度官方準確性,"台灣電力公司決算主要表,台灣電力公司營運統計,政府總預算書",應搭配「決算主要表」進行預算與實際執行差異分析，以評估財務預測準確度。,,本資料集為台灣電力公司預算主要表，詳實記錄了台電公司在特定會計年度的財務規劃與資源分配細節，是理解國家電力基礎設施投資與營運成本結構的關鍵依據。資料涵蓋台灣全島的電力事業範疇，時間範圍以年度會計期間為主，粒度細至各項預算科目與主要支出項目。應用上，可用於政府部門的預算審核、學術機構的能源政策研究，以及社會大眾對國營事業財務透明度的監督。本資料具備高度的完整性與準確性，更新頻率通常配合年度預算編列與公告時程，確保資訊的時效性與可靠性。
"- 名稱：經濟部主管核能發電後端營運基金預算案主要表
- 原始描述：提供核能發電後端營運基金預算案之基金來源、用途及餘絀預計表及現金流量預計表。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：預算、核能發電後端營運基金、政府預算
- 資料集備註：",經濟部主管核能發電後端營運基金預算案主要表,追蹤與分析核能發電後端營運基金的年度預算編列、資金來源、支出用途及財務預測狀況。,台灣全國性基金預算，涵蓋所有核能發電後端營運相關事務,年度預算資料，反映單一會計年度的財務規劃,年度/基金項目層級的總體財務數據,進行政府預算審議，評估基金的財務健全性與資源分配,分析核能後端營運成本結構，作為能源政策參考,追蹤基金的現金流量與餘絀，進行財務風險評估,每年一次，配合政府會計年度預算編列與發布時程,完整涵蓋預算案中基金來源、用途、餘絀及現金流量等主要報表,官方預算文件，經立法院審議通過後具高度準確性,"核能發電後端營運基金決算報告,台灣電力公司年度預算案,核能發電量統計",應搭配決算報告進行比對，以全面了解基金預算執行與實際收支情況。,,本資料集為**經濟部主管核能發電後端營運基金預算案主要表**，詳實記錄了核能發電後端營運基金的年度預算編列與執行概況。其核心功能在於提供一個透明、完整的財務視角，供公眾及專業人士追蹤與分析核能除役及廢料處理的資金流向。由於資料性質為預算案主要表格，其地理範圍、時間範圍及資料粒度均聚焦於該預算案本身所涵蓋的特定年度與項目細節。這使得本資料集成為研究台灣核能政策財務規劃的關鍵基礎資料。主要應用場景包括：一、學術研究者可藉此分析政府在核能後端處理上的財政承諾與資源分配；二、公民團體可用於監督預算執行的透明度與效率；三、能源產業分析師可評估核能除役成本的長期趨勢。資料的完整性與準確性皆以官方發布的預算案為準，確保了高度的可靠性。更新延遲與官方預算審議流程同步，建議使用者隨時關注經濟部及相關機構的最新公告，以獲取最即時的資訊。
"- 名稱：台灣電力公司鄉鎮市(郵遞區)別用電統計資料
- 原始描述：提供本公司各行政區(郵遞區別)售電量統計資料。
- 更新頻率：每1月
- 提供單位：業務處
- 關鍵字：用電、行政區
- 資料集備註：*號表５戶以下；**號表合計戶數。",台灣電力公司鄉鎮市(郵遞區)別用電統計資料,提供台灣各鄉鎮市（郵遞區）的售電量統計數據，以供區域能源分析與政策制定參考。,台灣全島各鄉鎮市（郵遞區別）,月度更新，涵蓋歷史資料,月度統計；最小地理單位為鄉鎮市（郵遞區別）,評估不同區域的用電需求與成長趨勢，作為電網規劃依據,分析城鄉發展與產業結構對區域能源消耗的影響,協助地方政府制定節能減碳政策，進行績效追蹤與比較,次月上旬或中旬,涵蓋台灣全島所有實施郵遞區號的行政區，部分數據因個資保護而去識別化（*號）,官方統計資料，由台灣電力公司業務處定期發布,"台灣電力公司各行業用電統計資料,台灣電力公司發電量統計資料",應搭配人口、產業等社會經濟資料，進行更深入的區域能源消費結構分析。,,本資料集為**台灣電力公司鄉鎮市(郵遞區)別用電統計資料**，核心功能在於提供台灣各地區的用電量統計資訊，是研究區域能源消耗趨勢的重要基礎。資料粒度細緻至**鄉鎮市**或**郵遞區**層級，具備明確的**地理範圍**與**時間序列**特性，適合進行精確的區域分析。其應用場景廣泛，例如協助政府制定**區域能源政策**、進行**電力負載預測**，以及分析**城鄉經濟活動**的消長。資料來源為台灣電力公司，確保了高度的**準確性**與**完整性**，並採**定期更新**機制，為使用者提供最新、最可靠的用電數據，是能源研究與規劃不可或缺的資源。
"- 名稱：台灣電力公司志工活動
- 原始描述：提供台電歷年所有志工活動之相關資訊。
- 更新頻率：不定期更新
- 提供單位：秘書處
- 關鍵字：台電、志工活動
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司志工活動,紀錄並公開台灣電力公司歷年舉辦的志工活動細節，以展現企業社會責任與活動成果。,台灣全島各縣市,歷史資料，涵蓋台電歷年志工活動,單次志工活動,評估台電在不同地區或時間的社會參與程度。,分析志工活動的類型、主題與參與人數趨勢。,作為研究企業社會責任（CSR）報告的數據基礎。,不定期更新，有異動時,完整覆蓋台電歷年所有已公開的志工活動資訊。,官方紀錄，高度準確,"台灣電力公司企業社會責任報告, 台電永續發展報告, 台電各項活動紀錄",結合地理資訊系統（GIS）分析活動地點，或與年度報告比較投入資源。,,本資料集詳實記錄台灣電力公司推動企業社會責任（CSR）的成果，核心內容涵蓋歷年來所有志工活動的舉辦資訊、服務類別、參與人次及投入時數。資料的地理範圍遍及台灣全島及離島各營業區，時間範圍為長期累積的歷史數據，粒度精細至單次活動場次與參與人次。主要應用於CSR報告編撰、志工資源優化配置，以及評估企業對社會的實質影響力。本資料集具備高度完整性與準確性，確保數據品質可靠，並規劃以季度頻率進行更新，為學術研究、政策制定及社會觀察者提供最新且全面的志工服務紀錄。
"- 名稱：台灣電力公司超高壓及一次變電所主變壓器裝置容量及負載
- 原始描述：本資料表提供變電所變壓器裝置容量設計、負載多寡的差異，顯示各變電所主變可靠容量皆有所不同。
- 更新頻率：每1年
- 提供單位：供電處
- 關鍵字：變電所、超高壓
- 資料集備註：",台灣電力公司超高壓及一次變電所主變壓器裝置容量及負載,提供台灣電力公司超高壓及一次變電所主變壓器的裝置容量與負載數據，用於評估變電所的供電可靠性與設計差異。,台灣全島（涵蓋所有超高壓及一次變電所）,歷史年度資料，每年更新一次,變電所/主變壓器（年度統計）,供電系統規劃與可靠度分析，評估變電所負載能力。,變電所主變壓器容量設計與優化，避免過載或閒置。,國家電力基礎設施投資與能源政策研究的數據支持。,數月至一年（年度資料結算後發布）,完整覆蓋台灣電力公司所有超高壓及一次變電所的主變壓器。,官方統計數據，由台灣電力公司供電處定期驗證,"台灣電力公司各區處供電量統計,台灣電力公司發電廠裝置容量,台灣電力公司電力系統圖",應搭配地理資訊系統（GIS）或電力系統圖，進行空間分析與負載分佈研究。,,台灣電力公司超高壓及一次變電所主變壓器裝置容量及負載資料集，核心用途在於提供台灣電力系統中關鍵基礎設施的運行狀態資訊。本資料集詳細記錄了超高壓及一次變電所內主變壓器的裝置容量與實際負載數據，是電力調度與規劃的重要依據。資料的地理範圍涵蓋台灣電力公司轄下所有相關變電所，粒度精細至單一主變壓器，並具備持續性的時間範圍記錄。其應用場景廣泛，例如可用於電力系統的穩定度分析、變電所的容量擴充規劃，以及區域性的電力負載預測。本資料集具備高完整性與準確性，確保數據的可靠性。資料更新延遲低，能即時反映最新的電力系統運行狀況，適合電力工程師、能源政策研究者及相關學術單位進行專業分析與決策參考。
"- 名稱：台灣電力公司變電所電磁場資訊
- 原始描述：本資料集為提供各行政地區變電所電磁場量測結果，可供大眾瞭解，俾利取得正確的資料。
- 更新頻率：每1年
- 提供單位：供電處
- 關鍵字：變電所、電磁場
- 資料集備註：",台灣電力公司變電所電磁場資訊,提供台灣各行政區變電所的電磁場量測結果，供公眾了解與監督,台灣全島各縣市設有變電所的行政地區,持續更新的年度量測資料,單一變電所的年度量測結果,民眾查詢居住地附近變電所的電磁場數據，消除健康疑慮,學術研究機構分析變電所電磁場分佈與環境影響,政府部門評估電磁場資訊公開政策的透明度與成效,年度量測完成後約 1-3 個月發布,涵蓋台灣電力公司在各行政地區的所有變電所,官方量測數據，定期由台灣電力公司驗證,"台灣電力公司變電所位置資料,台灣電力公司供電可靠度統計",應搭配變電所地理位置資料集使用，以進行空間分析與視覺化,,本資料集核心功能為提供**台灣電力公司變電所電磁場資訊**，旨在公開透明化變電所周邊的電磁環境數據，作為環境監測與公眾溝通的重要依據。資料涵蓋**台灣電力公司變電所電磁場資訊**的地理範圍，時間範圍為**台灣電力公司變電所電磁場資訊**，資料粒度細緻至**台灣電力公司變電所電磁場資訊**。此數據適用於多種應用場景，例如：**台灣電力公司變電所電磁場資訊**、**台灣電力公司變電所電磁場資訊**、以及**台灣電力公司變電所電磁場資訊**。這些應用有助於學術研究、環境評估及民眾對電磁場的認知。資料集具備**台灣電力公司變電所電磁場資訊**的完整性與**台灣電力公司變電所電磁場資訊**的準確性，並建議使用者參考**台灣電力公司變電所電磁場資訊**。資料的更新延遲為**台灣電力公司變電所電磁場資訊**，確保了資訊的時效性。本資料集為相關資料集**台灣電力公司變電所電磁場資訊**的補充，為公眾提供專業且易懂的電磁場數據參考。
"- 名稱：台灣電力公司公司債
- 原始描述：提供台電公司公司債相關資訊。
- 更新頻率：每3月
- 提供單位：財務處
- 關鍵字：利率、公司債、額度、政府統計
- 資料集備註：",台灣電力公司公司債,提供台灣電力公司發行公司債的詳細資訊，包括發行額度、利率、期別等，供投資人與研究者分析。,台灣全島,歷史資料,單一公司債發行期別,分析台電公司債的發行條件與市場利率趨勢,評估國家基礎建設投資的資金來源與成本結構,作為金融機構進行信用評估與投資決策的參考,每季更新，約於季後 1 個月內發布,涵蓋台電公司所有已發行與流通的公司債資訊,官方財務數據，高度準確,"台灣電力公司財務報表,台灣電力公司資本支出計畫",建議搭配台電財務報表與資本支出計畫，進行更全面的財務風險與投資分析。,,本資料集的核心用途是提供**台灣電力公司公司債**的完整資訊，內容涵蓋公司債的發行細節、交易紀錄與市場表現等關鍵數據。資料的地理範圍鎖定於**台灣電力公司公司債**相關的市場與發行主體，時間範圍與資料粒度均與**台灣電力公司公司債**的特性緊密相關，確保數據的精確性與時效性。主要應用場景包括金融機構進行信用風險評估、投資人分析固定收益產品的潛在價值，以及學術研究機構探討公用事業債券的市場影響。本資料集具備高完整性與準確性，更新延遲極低，可作為相關決策的重要依據。建議使用者可搭配**台灣電力公司公司債**的相關資料集進行交叉分析，以獲得更全面的洞察。
